,Plant Code,MMBTU_net,MWh_net,Latitude,Longitude,geometry,min_dist_to_lines
0,9,665720,33888.0,31.7569,-106.375,POINT (-106.3750000027804 31.75690000153978),2352.633180604327
3,3441,9020808,1186862.0,27.819412,-97.419203,POINT (-97.41920300177165 27.81941200255135),1614.9622036181
7,3459,57296899,4749439.4,30.0242,-93.878,POINT (-93.87800000119667 30.02420000220515),2726.667813593035
8,3460,21662619,1908370.0,29.75,-94.9256,POINT (-94.92560000137036 29.75000000223419),4901.877424741959
9,3464,1671962,110857.0,29.822201,-95.219429,POINT (-95.21942900141791 29.82220100221415),1385.3805179345513
48,7325,12234986,932558.0,29.694838,-95.040622,POINT (-95.04062200138918 29.69483800224188),89.70240885939528
54,10154,8972639,602915.0,29.2293,-95.1952,POINT (-95.19520000141559 29.22930000232699),384.1899806615343
58,10261,2135183,151143.0,29.8247,-94.9197,POINT (-94.91970000136925 29.82470000222044),629.0640262411911
59,10298,29918382,2107719.0,29.6225,-95.0458,POINT (-95.04580000139019 29.62250000225533),373.7300834471231
61,10436,13910135,998885.0,29.753517,-94.997277,POINT (-94.99727700138202 29.75351700223191),206.75340046297384
63,10692,35982412,2794864.0,29.759124,-95.009648,POINT (-95.00964800138402 29.7591240022306),385.79120754514565
64,10789,21761362,2420707.01,30.0552,-93.7579,POINT (-93.75790000117648 30.05520000220176),1778.0506205390834
66,50026,3489278,287359.0,27.8322,-97.5281,POINT (-97.52810000178786 27.83220000254508),4324.655135754437
67,50043,19112898,1835524.23,29.7314,-95.0839,POINT (-95.08390000139615 29.73140000223407),494.6643845646264
71,50121,353273,24446.543,27.8175,-97.4814,POINT (-97.481400001781 27.81750000254972),399.35281612373996
74,50153,0,0.0,29.37612,-94.946477,POINT (-94.94647700137472 29.37612000230445),1213.5423217836012
75,50229,10690612,207074.22,29.6981,-95.2547,POINT (-95.25470000142384 29.69810000223636),289.447161920016
76,50241,0,0.0,31.7697,-106.5014,POINT (-106.5014000027894 31.76970000153317),9750.716919015505
77,50304,15173983,1108099.7,29.723185,-95.128856,POINT (-95.12885600140345 29.72318500223459),1114.8636170620507
79,50625,38846998,3829087.89,30.0636,-94.0753,POINT (-94.07530000122961 30.06360000219409),1342.374758612142
80,50815,38495955,3341933.0,29.8161,-95.10773,POINT (-95.10773000139983 29.81610000221781),1167.594934019331
81,50973,16296758,673431.149,29.888462,-93.950984,POINT (-93.95098400120909 29.88846200222878),2515.690593892647
82,52088,24066110,1624382.0,29.378697,-94.943829,POINT (-94.94382900137427 29.37869700230404),1474.0891017750246
83,52120,34495325,3325554.9899999998,28.991289,-95.407481,POINT (-95.40748100145076 28.99128900236847),1753.959856924324
85,52132,4650107,350047.0,29.378164,-94.92195,POINT (-94.92195000137069 29.37816400230465),659.9532486674225
88,54321,6952298,206240.75699999998,29.9728,-94.2142,POINT (-94.21420000125286 29.97280000220801),4340.595308882066
92,54628,709355,42263.48,31.764458,-106.391314,POINT (-106.3913140027816 31.76445800153814),596.7430436973883
93,54676,26635770,2778673.63,28.9802,-95.342,POINT (-95.34200000144025 28.98020000237227),773.2504149245897
94,54748,0,0.0,29.97876,-93.952294,POINT (-93.95229400120915 29.97876000221208),1768.19725866153
95,55015,35467041,2182774.6,29.0728,-95.745,POINT (-95.74500000150442 29.07280000234391),256.2765012515446
97,55047,29356267,3821780.0,29.72475,-95.176479,POINT (-95.17647900141114 29.7247500022332),613.6908513753625
106,55104,1585095,110650.0,30.0444,-93.771389,POINT (-93.77138900117876 30.04440000220343),263.83247378174536
107,55122,5925038,427694.54,29.954321,-93.883592,POINT (-93.88359200119768 29.95432100221791),2032.6631812689593
118,55187,55204694,5126494.0,29.836952,-95.121744,POINT (-95.12174400140206 29.83695200221363),1251.5612047297652
119,55206,19954448,2098241.33,27.8139,-97.4283,POINT (-97.42830000177307 27.81390000255227),625.9903725602747
124,55299,40699957,4114081.7399999998,29.7189,-95.2319,POINT (-95.23190000142012 29.71890000223302),460.5326482288132
125,55309,11588618,788942.655,29.866497,-93.96515,POINT (-93.96515000121147 29.8664970022326),654.333373952688
128,55327,39037199,4782829.0,29.7731,-94.9019,POINT (-94.90190000136643 29.7731000022304),5750.650837558787
131,55365,1098635,88330.0,29.7028,-95.0718,POINT (-95.07180000139422 29.70280000223966),158.871600684396
132,55464,76694168,7385212.0,29.713414,-95.134508,POINT (-95.13450800140438 29.71341400223627),369.6227746885518
133,55470,40455454,3985406.66,29.378097,-94.932773,POINT (-94.93277300137247 29.37809700230439),1448.459558718161
137,56152,11708825,1295707.59,28.988761,-95.395417,POINT (-95.39541700144882 28.98876100236926),1382.6888399673564
146,56806,13399980,1741098.0,29.751645,-94.92312,POINT (-94.92312000136994 29.75164500223392),4964.058876119701
147,57322,1846350,101942.54,29.838138,-94.900661,POINT (-94.90066100136612 29.83813800221837),89.61994901801889
155,59145,6088034,568993.0,28.979167,-95.306944,POINT (-95.3069440014346 28.97916700237333),3417.2390322263063
161,60264,1626754,116779.0,29.49233,-94.98483,POINT (-94.98483000138063 29.49233000228138),7359.660312632066
163,60460,391466,36676.0,29.883214,-95.111345,POINT (-95.11134500140028 29.88321400220533),5134.740243218412
168,62762,978522,78291.0,29.562372,-95.089302,POINT (-95.08930200139741 29.56237200226568),6025.207112605858
