,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
22,5701,El Paso Electric Co,9.0,Copper,TX,El Paso,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,86.9,0.9,63,65,3,N, , ,OP,X,7,1980,12,2030,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,N
5258,49979,"Talen Texas, LLC",3441.0,Nueces Bay,TX,Nueces,7,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,351.0,0.9,319,325,100,N, , ,OP,X,7,1972, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5259,49979,"Talen Texas, LLC",3441.0,Nueces Bay,TX,Nueces,8,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,189.6,0.9,157,165,60,N, , ,OP,X,3,2010, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5260,49979,"Talen Texas, LLC",3441.0,Nueces Bay,TX,Nueces,9,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,189.6,0.9,157,165,60,N, , ,OP,X,3,2010, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5279,55937,Entergy Texas Inc.,3459.0,Sabine,TX,Orange,1,Natural Gas Steam Turbine,ST,,S,X,X,EES.SABINE1,EES.SABINE1,239.4,0.85,211.6,206.6,50,N, , ,OP,X,1,1962,6,2022,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
5280,55937,Entergy Texas Inc.,3459.0,Sabine,TX,Orange,3,Natural Gas Steam Turbine,ST,,S,X,X,EES.SABINE3,EES.SABINE3,473.4,0.87,367.9,373.2,55,N, , ,OP,X,12,1966,6,2026,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
5281,55937,Entergy Texas Inc.,3459.0,Sabine,TX,Orange,4,Natural Gas Steam Turbine,ST,,S,X,X,EES.SABINE4,EES.SABINE4,591.6,0.87,495,497.7,185,N, , ,OP,X,8,1974,6,2026,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
5282,55937,Entergy Texas Inc.,3459.0,Sabine,TX,Orange,5,Natural Gas Steam Turbine,ST,,S,X,X,EES.SABINE5,EES.SABINE5,507.4,0.87,436.6,443.2,55,Y,6,2019,OP,X,12,1979, , ,N,Electric Utility,1.0,X,NG,,,,,,DFO,,,,N,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
5283,54888,NRG Texas Power LLC,3460.0,Cedar Bayou,TX,Chambers,1,Natural Gas Steam Turbine,ST,,S,X,X,CBY_CBY_G1,CBY_CBY_G1,765.0,0.9,746,746,65,N, , ,OP,X,12,1970, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5284,54888,NRG Texas Power LLC,3460.0,Cedar Bayou,TX,Chambers,2,Natural Gas Steam Turbine,ST,,S,X,X,CBY_CBY_G2,CBY_CBY_G2,765.0,0.9,749,749,65,N, , ,OP,X,3,1972, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5285,54888,NRG Texas Power LLC,3464.0,Greens Bayou,TX,Harris,73,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GBY_GT,GBY_GT,72.0,0.9,54,54,30,N, , ,OP,X,12,1976,12,2035,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5286,54888,NRG Texas Power LLC,3464.0,Greens Bayou,TX,Harris,74,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GBY_GT,GBY_GT,72.0,0.9,54,54,30,N, , ,OP,X,12,1976,12,2035,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5287,54888,NRG Texas Power LLC,3464.0,Greens Bayou,TX,Harris,81,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GBY_GT,GBY_GT,72.0,0.9,54,54,30,N, , ,OP,X,12,1976,12,2035,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5288,54888,NRG Texas Power LLC,3464.0,Greens Bayou,TX,Harris,82,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GBY_GT,GBY_GT,72.0,0.9,50,50,30,N, , ,OP,X,12,1976,12,2035,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5289,54888,NRG Texas Power LLC,3464.0,Greens Bayou,TX,Harris,83,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GBY_GT,GBY_GT,72.0,0.9,64,64,30,N, , ,OP,X,12,1976,12,2035,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
5290,54888,NRG Texas Power LLC,3464.0,Greens Bayou,TX,Harris,84,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GBY_GT,GBY_GT,72.0,0.9,54,54,30,N, , ,OP,X,12,1976,12,2035,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
7531,54888,NRG Texas Power LLC,7325.0,San Jacinto Steam Electric Station,TX,Harris,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,SJS_SJS_G1,SJS_SJS_G1,88.2,0.85,81,81,58,N, , ,OP,X,4,1995,12,2031,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
7532,54888,NRG Texas Power LLC,7325.0,San Jacinto Steam Electric Station,TX,Harris,2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,SJS_SJS_G2,SJS_SJS_G2,88.2,0.85,81,81,50,N, , ,OP,X,4,1995,12,2031,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
8733,54769,INEOS USA LLC,10154.0,Power Island,TX,Brazoria,GEN1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,41.0,0.85,30,38,29,N, , ,OP,X,11,1985, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
8734,54769,INEOS USA LLC,10154.0,Power Island,TX,Brazoria,GEN2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,50.0,0.85,50,50,20,N, , ,OP,X,1,2020, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
8735,54769,INEOS USA LLC,10154.0,Power Island,TX,Brazoria,GEN3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,50.0,0.85,50,50,20,N, , ,OP,X,2,2020, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
8852,29925,Enterprise Products Optg LP,10261.0,Enterprise Products Operating,TX,Chambers,GEN3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.4,0.8,3,2.8,2.8,N, , ,OP,X,11,1991, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,N
8853,29925,Enterprise Products Optg LP,10261.0,Enterprise Products Operating,TX,Chambers,GEN4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.4,0.8,3,2.8,2.8,N, , ,OP,X,11,1991, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
8854,29925,Enterprise Products Optg LP,10261.0,Enterprise Products Operating,TX,Chambers,GEN5,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.4,0.8,3,2.8,2.8,N, , ,OP,X,11,1991, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,N
8855,29925,Enterprise Products Optg LP,10261.0,Enterprise Products Operating,TX,Chambers,GEN6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.5,0.8,3,2.8,2.8,N, , ,OP,X,12,1996, , ,Y,Industrial CHP,7.0,T,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,N
